#       time         integral Re         integral Im
#       r =            20.000000           20.000000
 337.0000000    3.6798905466e-05   -9.5952584810e-22
 338.0000000    2.1758007880e-05   -4.5228355952e-21
 339.0000000    2.1353899937e-06   -4.0002217067e-21
 340.0000000   -1.6009060540e-05   -3.3569246178e-21
 341.0000000   -2.8992905314e-05   -6.7406897353e-22
 342.0000000   -3.5321252083e-05    3.0808056245e-21
 343.0000000   -3.4500265318e-05    3.4233683621e-21
 344.0000000   -2.6367835617e-05    4.0864436738e-21
 345.0000000   -1.1636178393e-05    1.7373255770e-21
 346.0000000    6.9871340032e-06   -4.1428107554e-22
 347.0000000    2.4486321581e-05   -3.5737616726e-21
 348.0000000    3.4969880251e-05   -2.5697352213e-21
 349.0000000    3.4434188040e-05   -1.4863072003e-21
 350.0000000    2.3211028822e-05   -1.9910123755e-21
 351.0000000    6.3233247949e-06    4.1576487098e-22
 352.0000000   -8.8418574098e-06    1.8657959736e-21
 353.0000000   -1.6386968337e-05    2.1864922146e-21
 354.0000000   -1.5016675152e-05    2.2162916287e-21
 355.0000000   -8.4716535869e-06    1.4359592168e-21
 356.0000000   -2.9598786116e-06   -9.9998910858e-22
 357.0000000   -3.1341979004e-06   -2.7457635226e-21
 358.0000000   -9.0849494023e-06   -3.7173901579e-21
 359.0000000   -1.6195593985e-05   -3.0497054405e-21
 360.0000000   -1.7959439655e-05   -1.6353232213e-22
 361.0000000   -1.0086447769e-05    1.3302671949e-21
 362.0000000    6.5003943998e-06    4.1567039147e-21
 363.0000000    2.5511841596e-05    4.8810773804e-21
 364.0000000    3.8123797079e-05    2.9770346761e-21
 365.0000000    3.7345367216e-05    8.9284613715e-22
 366.0000000    2.1705748410e-05   -3.1979713388e-21
 367.0000000   -3.5930776158e-06   -5.8268876904e-21
 368.0000000   -2.8672011613e-05   -5.3993377815e-21
 369.0000000   -4.3245807917e-05   -3.5277682403e-21
 370.0000000   -4.1230436949e-05    1.1659739006e-21
 371.0000000   -2.3556016220e-05    3.8698915994e-21
 372.0000000    2.1703333155e-06    5.6613852302e-21
 373.0000000    2.5069775944e-05    4.5963179982e-21
 374.0000000    3.5911105838e-05    2.5000446746e-21
 375.0000000    3.1205512358e-05   -2.9838811767e-21
 376.0000000    1.4501754763e-05   -4.1761557725e-21
 377.0000000   -5.6936724847e-06   -3.9045513332e-21
 378.0000000   -2.0221945224e-05   -2.3629364905e-21
 379.0000000   -2.3550778003e-05    4.9526539853e-22
 380.0000000   -1.5910908469e-05    2.6447273238e-21
 381.0000000   -2.4397790914e-06    3.3719776279e-21
 382.0000000    9.8949915276e-06    1.5546231378e-21
 383.0000000    1.5778096616e-05   -7.5728847177e-22
 384.0000000    1.3678740974e-05   -1.7749045085e-21
 385.0000000    5.8500965824e-06   -1.8010047482e-21
 386.0000000   -3.3859243657e-06   -1.1504086938e-21
 387.0000000   -9.9171248383e-06    1.2266616559e-21
 388.0000000   -1.1540694117e-05    2.0075166843e-21
 389.0000000   -8.4870567228e-06    2.3870813761e-21
 390.0000000   -2.8247320323e-06    1.2530138719e-21
 391.0000000    2.7601936753e-06   -7.4183528350e-22
 392.0000000    6.1897337774e-06   -1.8048247385e-21
 393.0000000    6.7233464230e-06   -2.8623319066e-21
 394.0000000    4.9594365210e-06   -2.1747800717e-21
 395.0000000    2.2164659087e-06   -1.6502679135e-22
 396.0000000   -3.0213433403e-07    1.7545628216e-21
 397.0000000   -2.0544045857e-06    2.5850478562e-21
 398.0000000   -3.1134319831e-06    1.6025943688e-21
 399.0000000   -3.6489872142e-06    4.9269275120e-22
 400.0000000   -3.4293118054e-06   -6.8285830117e-22
 401.0000000   -1.8480567450e-06   -1.8100337993e-21
 402.0000000    1.4331825281e-06   -1.5306343014e-21
 403.0000000    5.6993310433e-06   -3.4406987130e-22
 404.0000000    8.9846593103e-06    3.5390685954e-22
 405.0000000    8.8795450562e-06    4.1449110878e-22
 406.0000000    4.0301664957e-06    4.5659180907e-22
 407.0000000   -4.5998515176e-06   -1.5670042283e-22
 408.0000000   -1.3655020316e-05   -1.2054705797e-21
 409.0000000   -1.8781173744e-05   -4.0207036963e-22
 410.0000000   -1.6828278169e-05    4.7484902789e-22
 411.0000000   -7.6318720102e-06    1.3489958734e-21
 412.0000000    5.6667680799e-06    1.7434261853e-21
 413.0000000    1.7966142074e-05    9.3747903106e-22
 414.0000000    2.4483913033e-05   -1.7961493899e-22
 415.0000000    2.2780816036e-05   -1.3492589413e-21
 416.0000000    1.3589810494e-05   -1.6758022587e-21
 417.0000000    2.3494340617e-07   -1.5732763086e-21
 418.0000000   -1.2864916712e-05   -4.7918887782e-22
 419.0000000   -2.1807147701e-05    4.8873451909e-22
 420.0000000   -2.4301499934e-05    1.1660903409e-21
 421.0000000   -2.0040329634e-05    1.5492463056e-21
 422.0000000   -1.0487128832e-05    1.1198972377e-21
 423.0000000    1.6556951563e-06   -6.8456993893e-23
 424.0000000    1.3120262885e-05   -6.4123263043e-22
 425.0000000    2.0822090934e-05   -7.0986240352e-22
 426.0000000    2.2630452856e-05   -8.8846636277e-22
 427.0000000    1.8012484507e-05   -2.4052792172e-22
 428.0000000    8.3121311287e-06   -6.6753139776e-22
 429.0000000   -3.5420585638e-06   -2.9704670586e-22
 430.0000000   -1.3913264523e-05   -1.5853443928e-22
 431.0000000   -1.9659414476e-05    2.0376346661e-22
 432.0000000   -1.9211112255e-05    2.6487029154e-22
 433.0000000   -1.3081729414e-05    6.9139045905e-22
 434.0000000   -3.5969158986e-06    6.1392174764e-22
 435.0000000    6.0272233681e-06    4.1055585791e-22
 436.0000000    1.2850054209e-05    2.0126624624e-22
 437.0000000    1.5137952767e-05   -8.1209250913e-23
 438.0000000    1.2744227809e-05   -4.5890089328e-22
 439.0000000    6.9069402209e-06   -3.7952014279e-22
 440.0000000   -3.2499348122e-07   -5.4378092646e-22
 441.0000000   -6.7541130252e-06   -7.0941895532e-22
 442.0000000   -1.0591471702e-05   -8.8424471097e-22
 443.0000000   -1.0851971163e-05   -1.6336227627e-22
 444.0000000   -7.5927322916e-06    4.9958104851e-22
 445.0000000   -1.9557800889e-06    9.8387969222e-22
 446.0000000    4.0846230127e-06    1.3654444962e-21
 447.0000000    8.3265690090e-06    9.5922283374e-22
 448.0000000    9.1714773467e-06   -1.1284130326e-23
 449.0000000    6.3426032511e-06   -8.9253195836e-22
 450.0000000    1.0910322376e-06   -1.6847770683e-21
 451.0000000   -4.3107098186e-06   -1.5749755991e-21
 452.0000000   -7.6028376558e-06   -8.6218794182e-22
 453.0000000   -7.5838329543e-06    5.2009626167e-22
 454.0000000   -4.6077590067e-06    1.3354505546e-21
 455.0000000   -2.7619342247e-07    1.6851363847e-21
 456.0000000    3.4647423311e-06    1.2886254557e-21
 457.0000000    5.2804634585e-06    3.1101199789e-22
 458.0000000    4.9330346472e-06   -5.3815592763e-22
 459.0000000    3.1108990229e-06   -1.2926073799e-21
 460.0000000    8.3579508213e-07   -1.3038496327e-21
 461.0000000   -1.1087856009e-06   -9.3462765093e-22
 462.0000000   -2.3952952523e-06   -4.5561344152e-22
 463.0000000   -3.0004874227e-06    1.2026542525e-22
 464.0000000   -2.9376161567e-06    7.8923932980e-22
 465.0000000   -2.1551272331e-06    1.0058928498e-21
 466.0000000   -6.8218733241e-07    5.7052081565e-22
 467.0000000    1.1483327001e-06    3.8794553395e-22
 468.0000000    2.6589911146e-06   -3.4595699352e-22
 469.0000000    3.0910954700e-06   -6.5510251403e-22
 470.0000000    2.0442756978e-06   -9.3796023582e-22
 471.0000000   -1.9888804616e-07   -6.0980765440e-22
 472.0000000   -2.7049904786e-06   -1.5366312375e-22
 473.0000000   -4.2969221580e-06    5.6938670155e-22
 474.0000000   -4.1195517774e-06    9.2705570677e-22
 475.0000000   -2.0598673063e-06    8.4592310960e-22
 476.0000000    1.1824615902e-06    2.9341463818e-22
 477.0000000    4.3793325487e-06   -3.9237767498e-22
 478.0000000    6.2558006213e-06   -7.0741500982e-22
 479.0000000    5.9637469569e-06   -9.2898029704e-22
 480.0000000    3.3931103924e-06   -7.0789445956e-22
 481.0000000   -7.5407465525e-07    7.3201019427e-23
 482.0000000   -5.1426354874e-06    8.2856970443e-22
 483.0000000   -8.2086462878e-06    6.1630438026e-22
 484.0000000   -8.7017381969e-06    5.9464108385e-22
 485.0000000   -6.1983305894e-06    2.5500634079e-22
 486.0000000   -1.3697070293e-06   -4.6035234002e-22
 487.0000000    4.1632872556e-06   -3.5846787175e-22
 488.0000000    8.3956517336e-06   -3.9808336209e-22
 489.0000000    9.7230203493e-06   -1.4873440911e-22
 490.0000000    7.6103950343e-06    1.1950054664e-22
 491.0000000    2.8372182275e-06    1.2682737491e-22
 492.0000000   -2.8021704040e-06    1.0233132892e-22
