#       time             L^2_Ham             L^2_Mom
 337.0000000    9.9246802460e-03    1.4450557590e-03
 338.0000000    9.8550760537e-03    1.4022614942e-03
 339.0000000    9.7809212096e-03    1.4128860532e-03
 340.0000000    9.7076566083e-03    1.4364800735e-03
 341.0000000    9.6335446683e-03    1.4301537625e-03
 342.0000000    9.5556756270e-03    1.4039338720e-03
 343.0000000    9.4792086633e-03    1.3781717655e-03
 344.0000000    9.4060735820e-03    1.3612414603e-03
 345.0000000    9.3268312012e-03    1.3699053837e-03
 346.0000000    9.2383050445e-03    1.4001408323e-03
 347.0000000    9.1543867342e-03    1.4028180587e-03
 348.0000000    9.0858837150e-03    1.3501560694e-03
 349.0000000    9.0240822314e-03    1.2920836114e-03
 350.0000000    8.9538330220e-03    1.2972554848e-03
 351.0000000    8.8724503519e-03    1.3449152024e-03
 352.0000000    8.7932110314e-03    1.3539908794e-03
 353.0000000    8.7323029843e-03    1.2937423263e-03
 354.0000000    8.6842454839e-03    1.2200402493e-03
 355.0000000    8.6173179724e-03    1.2118212142e-03
 356.0000000    8.5141068890e-03    1.2589450268e-03
 357.0000000    8.4060795225e-03    1.2756162985e-03
 358.0000000    8.3372059492e-03    1.2210428925e-03
 359.0000000    8.3014479831e-03    1.1494682464e-03
 360.0000000    8.2541012208e-03    1.1417010839e-03
 361.0000000    8.1775878036e-03    1.1831878226e-03
 362.0000000    8.0975547583e-03    1.1897312130e-03
 363.0000000    8.0357229762e-03    1.1344196885e-03
 364.0000000    7.9793403027e-03    1.0775594404e-03
 365.0000000    7.9060120965e-03    1.0777528673e-03
 366.0000000    7.8181464402e-03    1.1031071549e-03
 367.0000000    7.7405739983e-03    1.0918559607e-03
 368.0000000    7.6885033993e-03    1.0410025671e-03
 369.0000000    7.6466427900e-03    9.9743200141e-04
 370.0000000    7.5871814346e-03    9.9072854455e-04
 371.0000000    7.5050687391e-03    9.9899398909e-04
 372.0000000    7.4236619492e-03    9.8738873906e-04
 373.0000000    7.3625693321e-03    9.5033658232e-04
 374.0000000    7.3132558173e-03    9.1254585159e-04
 375.0000000    7.2556794940e-03    8.9726935607e-04
 376.0000000    7.1867063614e-03    8.9810153401e-04
 377.0000000    7.1193528444e-03    8.9415570081e-04
 378.0000000    7.0614130554e-03    8.7878033435e-04
 379.0000000    7.0081623012e-03    8.5826985975e-04
 380.0000000    6.9536975303e-03    8.3895363311e-04
 381.0000000    6.8975895480e-03    8.2896995542e-04
 382.0000000    6.8406018793e-03    8.3439811863e-04
 383.0000000    6.7836653805e-03    8.4153244998e-04
 384.0000000    6.7305838069e-03    8.2778472721e-04
 385.0000000    6.6826568293e-03    7.9788889468e-04
 386.0000000    6.6320627201e-03    7.8492115859e-04
 387.0000000    6.5703060442e-03    7.9993581645e-04
 388.0000000    6.5025813064e-03    8.1083573097e-04
 389.0000000    6.4441832375e-03    7.9216754528e-04
 390.0000000    6.4007387867e-03    7.6158163134e-04
 391.0000000    6.3606463332e-03    7.5359908564e-04
 392.0000000    6.3119814001e-03    7.6574695513e-04
 393.0000000    6.2585821193e-03    7.6448183608e-04
 394.0000000    6.2102414281e-03    7.4086161980e-04
 395.0000000    6.1639670915e-03    7.2243878438e-04
 396.0000000    6.1092794498e-03    7.2452257767e-04
 397.0000000    6.0476080559e-03    7.2384204143e-04
 398.0000000    5.9903731359e-03    7.0458787797e-04
 399.0000000    5.9412130428e-03    6.8730767762e-04
 400.0000000    5.8955872677e-03    6.8854075900e-04
 401.0000000    5.8530950069e-03    6.8683307444e-04
 402.0000000    5.8145687665e-03    6.6276783249e-04
 403.0000000    5.7725020672e-03    6.3649451214e-04
 404.0000000    5.7192511576e-03    6.3507095897e-04
 405.0000000    5.6605818535e-03    6.4260221105e-04
 406.0000000    5.6090196783e-03    6.2816157324e-04
 407.0000000    5.5668201982e-03    5.9820096986e-04
 408.0000000    5.5256209755e-03    5.8423699853e-04
 409.0000000    5.4804922189e-03    5.8804898395e-04
 410.0000000    5.4343926971e-03    5.8337308630e-04
 411.0000000    5.3892879655e-03    5.6616408358e-04
 412.0000000    5.3425458414e-03    5.5490943128e-04
 413.0000000    5.2941579971e-03    5.5100527982e-04
 414.0000000    5.2491440094e-03    5.4084574198e-04
 415.0000000    5.2096157953e-03    5.2924457709e-04
 416.0000000    5.1712365643e-03    5.2997277979e-04
 417.0000000    5.1304706690e-03    5.3419364598e-04
 418.0000000    5.0895575402e-03    5.2538782530e-04
 419.0000000    5.0511918823e-03    5.1034710937e-04
 420.0000000    5.0124937356e-03    5.0798237274e-04
 421.0000000    4.9685670890e-03    5.1725749717e-04
 422.0000000    4.9209453565e-03    5.2108839438e-04
 423.0000000    4.8776950522e-03    5.1292472655e-04
 424.0000000    4.8428993120e-03    5.0135853984e-04
 425.0000000    4.8105941595e-03    4.9650672969e-04
 426.0000000    4.7733615514e-03    4.9989564593e-04
 427.0000000    4.7324407688e-03    5.0511294012e-04
 428.0000000    4.6941753035e-03    5.0353092748e-04
 429.0000000    4.6601393981e-03    4.9203744909e-04
 430.0000000    4.6258294827e-03    4.7963260264e-04
 431.0000000    4.5871316591e-03    4.8055825963e-04
 432.0000000    4.5454290079e-03    4.9189387945e-04
 433.0000000    4.5069794743e-03    4.9118349848e-04
 434.0000000    4.4755376453e-03    4.6818343069e-04
 435.0000000    4.4450416966e-03    4.4680346404e-04
 436.0000000    4.4060194481e-03    4.5463263887e-04
 437.0000000    4.3607116901e-03    4.7204709425e-04
 438.0000000    4.3217569051e-03    4.6215861988e-04
 439.0000000    4.2927735577e-03    4.2937496682e-04
 440.0000000    4.2630694557e-03    4.1467697398e-04
 441.0000000    4.2261447406e-03    4.2940824619e-04
 442.0000000    4.1892924376e-03    4.3730657140e-04
 443.0000000    4.1590241793e-03    4.1815410404e-04
 444.0000000    4.1296487583e-03    3.9199305644e-04
 445.0000000    4.0931417734e-03    3.8608297819e-04
 446.0000000    4.0510694002e-03    3.9611472015e-04
 447.0000000    4.0112407405e-03    3.9861751231e-04
 448.0000000    3.9780263341e-03    3.8372133451e-04
 449.0000000    3.9493943882e-03    3.6363593960e-04
 450.0000000    3.9209547308e-03    3.5788566086e-04
 451.0000000    3.8909716105e-03    3.6582762747e-04
 452.0000000    3.8610203837e-03    3.6756989022e-04
 453.0000000    3.8318149166e-03    3.5503954105e-04
 454.0000000    3.8009206508e-03    3.4152781789e-04
 455.0000000    3.7665063394e-03    3.3839504988e-04
 456.0000000    3.7307019183e-03    3.3848033032e-04
 457.0000000    3.6970273586e-03    3.3355465335e-04
 458.0000000    3.6667086204e-03    3.2669064743e-04
 459.0000000    3.6388335406e-03    3.2100710939e-04
 460.0000000    3.6118920961e-03    3.1392185416e-04
 461.0000000    3.5843256351e-03    3.0625815260e-04
 462.0000000    3.5551795737e-03    3.0271936449e-04
 463.0000000    3.5247949394e-03    3.0190880531e-04
 464.0000000    3.4946121732e-03    2.9743906721e-04
 465.0000000    3.4662061396e-03    2.8821793509e-04
 466.0000000    3.4396240059e-03    2.8017878179e-04
 467.0000000    3.4127165411e-03    2.7830660280e-04
 468.0000000    3.3838895281e-03    2.7999183230e-04
 469.0000000    3.3548625743e-03    2.7828241040e-04
 470.0000000    3.3279787360e-03    2.7098897270e-04
 471.0000000    3.3022174814e-03    2.6410475585e-04
 472.0000000    3.2754495978e-03    2.6335315171e-04
 473.0000000    3.2485176953e-03    2.6527935244e-04
 474.0000000    3.2230840321e-03    2.6383169693e-04
 475.0000000    3.1980228542e-03    2.5967398756e-04
 476.0000000    3.1717517917e-03    2.5612972456e-04
 477.0000000    3.1451061637e-03    2.5281554118e-04
 478.0000000    3.1189023310e-03    2.5001192987e-04
 479.0000000    3.0924758764e-03    2.5085230750e-04
 480.0000000    3.0668643143e-03    2.5289126304e-04
 481.0000000    3.0446644934e-03    2.4890043441e-04
 482.0000000    3.0247699787e-03    2.4045127567e-04
 483.0000000    3.0024168988e-03    2.3831310730e-04
 484.0000000    2.9761168673e-03    2.4350391120e-04
 485.0000000    2.9494574293e-03    2.4406781051e-04
 486.0000000    2.9247617865e-03    2.3578212740e-04
 487.0000000    2.9001027240e-03    2.2879208449e-04
 488.0000000    2.8741838695e-03    2.3008788258e-04
 489.0000000    2.8494721156e-03    2.3239690070e-04
 490.0000000    2.8283363960e-03    2.2882761660e-04
 491.0000000    2.8094071713e-03    2.2304267431e-04
 492.0000000    2.7897701087e-03    2.2051817845e-04
 493.0000000    2.7684357273e-03    2.2011960818e-04
 494.0000000    2.7459623909e-03    2.1911399082e-04
 495.0000000    2.7225404479e-03    2.1778813734e-04
 496.0000000    2.6983630293e-03    2.1590581933e-04
 497.0000000    2.6746929443e-03    2.1208896787e-04
 498.0000000    2.6526621738e-03    2.0830437245e-04
 499.0000000    2.6317695858e-03    2.0821271638e-04
 500.0000000    2.6111246801e-03    2.1002407562e-04
